acc,precision,recall,F1,TP,TN,FP,FN,cohen
0.42990654205607476,,0.0,,0.0,46.0,0.0,61.0,
0.5046728971962616,0.6666666666666666,0.26229508196721313,0.37647058823529417,16.0,38.0,8.0,45.0,
0.5700934579439252,0.5700934579439252,1.0,0.7261904761904762,61.0,0.0,46.0,0.0,
0.42990654205607476,,0.0,,0.0,46.0,0.0,61.0,
0.5700934579439252,0.5700934579439252,1.0,0.7261904761904762,61.0,0.0,46.0,0.0,
0.5009345794392523,,0.45245901639344266,,27.6,26.0,20.0,33.4,
