acc,precision,recall,F1,TP,TN,FP,FN
0.6486486486486487,0.8135593220338984,0.7619047619047619,0.7868852459016393,48.0,0.0,11.0,15.0
0.14864864864864866,,0.0,,0.0,11.0,0.0,63.0
0.44594594594594594,0.7619047619047619,0.5079365079365079,0.6095238095238095,32.0,1.0,10.0,31.0
0.14864864864864866,,0.0,,0.0,11.0,0.0,63.0
0.14864864864864866,,0.0,,0.0,11.0,0.0,63.0
0.3081081081081082,,0.25396825396825395,,16.0,6.8,4.2,47.0
