acc,precision,recall,F1,TP,TN,FP,FN,cohen
0.27522935779816515,,0.0,,0.0,30.0,0.0,79.0,
0.7247706422018348,0.7247706422018348,1.0,0.8404255319148937,79.0,0.0,30.0,0.0,
0.7155963302752294,0.7222222222222222,0.9873417721518988,0.8342245989304813,78.0,0.0,30.0,1.0,
0.6330275229357798,0.7241379310344828,0.7974683544303798,0.7590361445783133,63.0,6.0,24.0,16.0,
0.4954128440366973,0.7307692307692307,0.4810126582278481,0.5801526717557252,38.0,16.0,14.0,41.0,
0.5688073394495413,,0.6531645569620252,,51.6,10.4,19.6,27.4,
