drug,SMILES,SGK1,MAP4K4,SERPINE1,CYP11B1,TNF,SLC22A2,PIK3CA,USP7,BCL2L1,S1PR5,SLC6A2,CSNK2A1,GPER1,PTPRF,ULK1,KIF11,HTR6,DDAH1,AKR1C1,NMT1,FLT4,PDE7A,CASP5,AGTR1,GABRA5,ADH5,ALOX5AP,HPGD,CNR2,MCL1,CYP2C19,RET,HCRTR1,GRK2,PRKACA,KAT2B,RPS6KA5,QPCTL,EGLN2,IKBKE,PSMB1,P2RY12,SLC33A1,MAPK14,IDO1,F10,MBD2,PTPN11,BRDT,PLD2,PDE7B,GBA1,PIK3C3,SENP7,ADAM33,UGCG,AURKB,PDGFRB,RPS6KA1,HRH1,REN,SENP2,PTK6,P4HTM,ILK,CTSD,BLK,PLK1,HDAC11,GRK1,PDE9A,ABCG2,EGLN3,EPHX1,HTR3A,HSP90AA1,ITK,MAPK10,TYK2,FURIN,HPGDS,AADAT,ALDH3A1,MET,ABL2,PTPN4,TRPV1,RGS19,DOT1L,NOS2,HDAC9,RGS8,HDAC10,HCK,UBA6,EEF2K,FRK,CYP19A1,HDAC4,ZAP70,TNK2,GRM3,RXRA,INSR,MMP17,DHODH,GRK6,PSMB5,MPO,ERBB4,KDM5A,CA9,LIPE,NAMPT,AAK1,ARG1,RPS6KA3,CREBBP,PDE3A,PTGER4,F9,CCR1,GRIN2B,RUNX1,ACVR1B,SLC9A3,HDAC8,S1PR1,PTPN5,DAGLA,AKR1C3,CDC7,WNT3A,PIK3R2,PTGS2,DPP4,KCNN4,GRM5,CASP8,PIK3CG,PRSS1,CYP2C9,ADRB2,GSK3A,CTSB,CHUK,MAPK11,CPB2,ACACB,SLC16A3,LYN,DRD2,ALDH1A1,PIM2,ALDH2,PIK3C2B,PDE5A,IL1B,GLS,PLD1,SCN8A,ATR,BCL2A1,MAPK12,CDK1,RAF1,MGLL,GPR4,NOS1,PTGES,KISS1R,CASP4,AKR1C2,DPP8,CBFB,PTGER2,SRD5A2,PAK5,ADORA3,HSD11B2,F2RL1,CDK4,BMX,CYP26A1,DUSP3,EPHA2,CHIT1,S1PR3,MARK2,IGF1R,MCHR1,XDH,LITAF,PDE2A,JAK3,MDM4,PSMB8,STK3,NR1H4,FGFR2,CACNA1C,FGFR1,PLAT,EGLN1,CASP9,PTPN1,CETP,IKBKB,RIPK3,PRCP,EGFR,ITGA5,TRPV3,DUT,TAC3,GHSR,S1PR2,CLK2,AURKC,BAD,CPB1,DHFR,DPP9,NOX4,PLK2,ERN1,ACVR1,HASPIN,UBA1,ADRB1,PRKCZ,CDK6,HRH4,RPS6KA6,CSF1R,PTPN6,ADAMTS4,CTSS,NR2C2,NQO2,PLCG1,CDK2,FLT3,HTR2C,ABL1,HPN,CALCRL,SYK,CTNNB1,CTSK,CASP3,HDAC5,FGFR3,CASP2,CAPN1,LRRK2,MAP3K11,EPHB4,DDR1,HTR7,TEK,HSP90AB1,HEXB,PLK4,GCK,KNG1,HSD11B1,CRHR1,SLC6A4,ADAMTS5,TACR2,PRKCQ,PRKDC,RGS16,MAPK8,GABRA1,CXCL8,MAP3K8,LIPG,ALOX5,MTOR,STAT1,PLA2G4A,DAGLB,SHMT1,ELANE,MAPK9,HDAC2,ROCK1,CACNA1G,MMP7,METAP2,SLC16A1,FGF2,HCRTR2,CASP6,PPIB,KDR,SORT1,MAPK13,PRNP,BACE1,EPHA3,CYP17A1,CYP1A1,PTP4A3,MMP9,TYRO3,PRKAB1,MMP12,EPHB2,PPIA,PSIP1,SSTR3,FLT1,BUB1,KCNJ1,P2RX3,MAP4K1,PRKD1,GRIN2D,P2RX2,MAPK3,PRKCA,TPH2,CAMKK2,CTH,CDK9,CDA,MTNR1A,DYRK1A,FUCA1,PIK3CD,ADORA1,MMP8,WEE1,LTA4H,PDE1B,S1PR4,SRPK1,CCNT1,DDR2,LIMK1,NR1H3,GRK5,YES1,SLC6A3,MMP13,PTK2,QPCT,PDGFRA,TGFBR2,BCHE,CTRL,MDM2,TACR1,APEX1,CDK5,KCNJ5,SIRT1,TGM2,ALK,CA2,MAP3K7,OPRD1,AR,GRIN2C,MAPK1,TYMS,CLK1,CHEK1,CNR1,EPAS1,JAK1,KCNH2,DGAT2,OPRM1,NR3C2,HRH3,EIF2AK2,OPRK1,KDM1A,NOX1,AURKA,PDE10A,KLK7,RBP4,BRAF,TTK,PTPN13,TDO2,CHRM3,APP,HTR2B,PDE8A,P4HB,CASP1,MAP2K1,PDE4A,CYP21A2,TACR3,ALPL,MKNK1,HSD17B1,CHIA,TMPRSS11D,PLG,PLK3,P2RX4,MTNR1B,HDAC6,ACACA,HDAC1,DPP7,DUSP22,ACE,TPH1,IDE,RPS6KA2,SIRT2,CSK,HDAC3,IRAK4,FAP,HDAC7,PDPK1,MKNK2,CASP7,CMA1,LNPEP,DAO,ROCK2,CAMK2A,BTK,JAK2,LTC4S,TEC,ADRA1A,CTSL,HSD17B2,CXCR2,MERTK,CYP2E1,CA1,SENP1,AOC3,ADORA2A,PDE3B,OGA,PIM3,ARG2,ADORA2B,VEGFA,ERG,CSNK2A2,PPARG,ACHE,F11,PTPRJ,ALOX15,RPS6KB1,AKT1S1,PTPN2,CYTH3,CSNK1A1,SSTR5,PTPRC,PTPN7,PPID,CDK7,PTGDR2,PIK3CB,CYP3A4,MAPKAPK5,GSK3B,SOAT1,MAPKAPK2
alfentanil,CCC(=O)N(C1=CC=CC=C1)C2(CCN(CC2)CCN3C(=O)N(N=N3)CC)COC,1.5511961,1.0407922,5.451144,5.246895,3.8018997,4.311798,4.437628,4.0743146,3.6728039,7.156559,3.2839284,1.6517353,4.302934,4.2070055,6.2069545,5.845262,6.348883,5.7170706,3.231379,5.8890476,5.258829,3.6259933,6.3210144,3.33854,3.5622663,2.9846935,3.7978597,4.399501,4.798099,5.088241,4.4906855,3.759196,4.2560472,3.6671364,0.38727003,3.894498,3.8941274,6.9118505,7.4874816,5.0492325,3.142382,3.3901746,4.6448755,1.2134519,4.513299,1.5964422,5.2345524,2.5112126,4.952613,4.8202143,3.3130388,4.3404384,4.1485124,9.278917,6.3430595,3.8830075,2.8622804,6.0198593,1.536473,4.8834543,3.404435,5.237564,2.542977,5.4604435,3.2172804,1.8425477,1.6050057,5.24226,3.8730338,2.66292,4.2228994,4.7337284,4.294676,3.9824185,3.757522,3.972808,3.8165758,2.4501743,6.6793084,3.659522,5.0705643,4.912807,4.5354795,5.2377963,5.82144,3.3989174,6.169881,1.8178084,5.6391697,4.1139092,3.5804968,1.3506109,7.179491,2.5251036,5.638229,4.815618,1.7647948,6.1504693,4.4221096,2.4649467,3.2904074,3.7634773,2.2708693,3.4051328,3.337692,3.3606849,1.8094988,2.187462,2.2218857,2.3310986,5.762627,6.256358,7.616436,3.8722615,4.8730097,3.9257436,1.5262473,6.735916,7.3169317,4.8729877,3.7498355,2.5827816,4.941991,3.5429263,1.2092302,6.121114,3.3644774,2.9631567,4.6680474,6.156857,3.2025175,6.829146,2.1575677,5.200783,4.261177,2.4961739,4.0143456,2.477618,3.576581,5.451434,1.6243563,4.5762568,3.083537,4.426878,1.0692083,4.4668107,2.997905,3.829008,5.787984,5.2396173,1.3157258,2.1548848,5.6491013,5.139208,6.7125044,4.8260746,4.8804865,6.035659,4.3320427,4.641488,1.5188468,5.3043213,6.357172,2.7842524,0.59966433,3.1108022,5.2714367,4.731174,3.7753367,2.2218733,4.724692,5.853918,3.2412777,3.3115053,0.100139976,4.4757514,4.051489,3.2862575,2.940672,7.4712563,3.575095,1.3220336,3.4327974,5.5992117,2.2197316,3.3886302,4.4543276,3.9874008,2.1762152,2.6706223,4.374002,3.8643794,3.926242,6.150177,6.893452,7.7478366,2.0525188,2.622473,2.6731277,1.9414113,2.284313,2.0050795,2.4800751,5.1055098,6.411837,5.780429,7.715556,4.812211,5.197959,3.104502,2.8219824,6.22557,5.8157563,5.143671,5.0932903,3.289401,5.7757044,0.62313414,2.0463426,5.2058926,2.0251682,4.8068867,4.2995963,4.2267675,4.305608,7.084548,0.7332281,6.9893756,5.379408,4.9304724,1.9624028,1.7048495,3.19519,3.8040814,5.921622,4.217205,5.2927065,3.0844378,3.0724964,3.9671645,4.0169024,0.282508,6.1826878,4.1273136,5.2935305,2.3493981,3.0934634,2.3488517,3.712828,2.3570561,3.2001028,3.8057175,3.8136024,5.5539303,4.182742,5.532837,5.0260973,4.804123,3.9171784,4.3390093,4.271372,3.6368217,2.812182,5.475842,4.4829245,4.3670335,5.414323,1.7970103,3.4675488,3.6430206,5.448744,2.6218357,5.860195,2.3351402,2.2230778,1.4676375,1.2293661,5.1999907,5.9468718,3.2040906,4.208445,6.1675577,6.176401,5.9728446,4.445015,1.0916818,3.5821877,3.7509973,4.788345,3.2944546,-0.68345344,3.9525476,5.048149,4.919488,2.7301245,3.8074293,2.437612,4.814941,3.7960038,0.8753857,4.256448,3.2523906,2.0285294,6.191795,4.4604015,4.598896,2.2819614,5.0989847,3.6663404,0.08215535,2.1015224,3.3663495,5.4584017,4.7412043,4.7167883,5.9268017,3.066726,5.486248,5.771549,3.2142472,5.2395906,4.816951,0.7875496,0.5813074,3.1700876,4.8176208,3.9705057,2.0546334,2.596294,4.025512,4.0145216,3.1673765,5.3735514,1.8798969,1.3885237,5.5035176,4.6458297,4.3616533,6.4838266,4.3355956,4.2422285,2.4256039,5.546094,1.6561542,3.4325707,1.0278057,4.885536,1.7999351,1.8259273,2.6291327,5.0532875,3.9985523,3.7275777,1.6869333,4.775089,2.792616,4.099145,0.8504668,3.4455884,6.4926796,5.7803774,5.4180026,1.7903829,3.2948604,3.6644478,3.5279956,5.7511473,0.43594265,2.824306,0.45772186,3.4755034,4.629822,7.246483,5.6899376,4.3929715,4.161245,2.9297614,5.2177763,4.084386,4.594593,4.069749,5.6030436,3.696991,2.7660367,5.0712295,2.686418,2.6306179,3.6658337,7.055836,3.6542861,3.7150064,4.649228,3.1850634,5.9665008,5.734311,4.8184204,6.7071695,2.6507142,5.8676176,6.008122,3.073248,3.2829804,2.7170444,7.773526,2.938759,2.7818162,1.7300489,6.1900015,2.2043004,4.0754547,5.5301743,6.643753,3.5675406,2.8825645,2.6474302,-0.0813877,3.3101106,5.4293613,1.3571227,5.1286244,0.94691503,3.8524537,5.6519856,2.878671,5.3589587,2.8269808,4.2072725,3.6047018,5.802535,4.791036,5.25138,5.5247965,2.4838295,2.046564,5.513559,4.0707874,2.0032556,3.998593,1.7296461,3.4262826,2.2700555,5.5848265,4.3711405,2.8025389,6.7121496,5.0392265,3.022878,6.2587852,4.6720243,3.2177305,3.7149332,3.9250422,2.1128812,2.1456628,2.3870864,3.3181586,6.1625195,3.652257,3.6396146,4.5521564,3.5209613,4.4645376,4.587987,1.2641506,1.5187235,5.991576,4.2064447,2.7548962,3.820507,2.1536367,6.729806,4.728382,4.111246,2.7986712,2.9041286,5.21935,1.5428507
telithromycin,CC[C@@H]1[C@@]2([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H](C(=O)[C@H](C(=O)O1)C)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)OC)C)C)N(C(=O)O2)CCCCN4C=C(N=C4)C5=CN=CC=C5)C,2.0372393,1.7626706,4.465837,4.351845,2.2443392,5.1847777,2.0779476,3.079212,2.2009382,5.5490513,4.2736073,2.2647274,6.0277395,3.712607,4.1080847,5.3584723,5.2489395,4.2289233,3.608152,6.0107574,3.4436865,2.7695558,4.391306,5.3001485,6.7731214,4.5802736,3.6503773,3.591189,5.7711105,3.6565013,4.540393,2.5543523,6.389989,3.381834,2.3699136,2.8752437,3.3024435,3.4668186,4.4401197,3.3577137,3.078907,5.4733253,4.621267,1.3546004,2.7596307,2.3151803,4.725718,1.6570723,3.842043,3.4616046,2.7653067,3.0340466,2.763944,4.846518,3.6370468,3.391603,2.3528202,4.2166576,2.5295362,4.9182425,3.8585887,2.1671677,2.8081794,3.3075662,2.6809819,4.5855494,3.2642403,3.7912993,3.2406592,3.1834188,2.911556,5.1770716,3.9774969,3.4496865,4.22418,3.6822984,4.005966,2.4974897,3.0634537,4.1739526,3.9949546,4.0771914,5.712592,3.3833816,4.139455,3.3286736,5.3842845,3.468258,3.524776,2.9722214,3.1970658,1.7981573,4.0823565,4.4962153,3.6592484,2.377119,3.4754984,5.594846,3.8023443,2.9319801,1.672286,5.2260685,5.36953,3.203823,3.4332023,2.7154348,1.3818316,2.266245,2.7091064,2.706006,3.8303585,3.4911933,5.195512,3.0193324,3.32804,4.4536204,3.6303935,4.6088805,4.773917,5.3723803,3.8868499,5.5191517,6.273521,4.4728394,4.372917,6.568369,3.0105443,5.2147055,3.249792,4.51307,3.6933103,3.349155,4.2104235,4.044775,3.4055953,1.8532562,4.194406,3.7740455,2.8319309,2.480877,4.069208,4.6078305,4.755869,4.620912,3.3918412,2.9982922,4.5205064,3.9260123,4.378192,6.602064,2.5353034,4.553096,6.526152,3.7672236,7.277047,2.5947104,3.0669198,3.1731462,3.5995805,2.845757,4.6331553,4.1199355,3.6458712,4.159896,1.2922492,2.8075027,5.334683,5.6328793,2.9359722,4.020357,3.9144058,3.5808983,3.7374277,2.474911,0.061344564,5.0692286,3.9760778,2.052596,5.7094655,5.59799,5.848364,1.3126252,3.116575,3.8978176,3.3274348,3.7957358,4.6821184,6.021484,1.8288324,2.571895,6.1889424,3.1749117,3.9667544,5.177549,3.8894541,3.3159676,3.1184754,2.243533,2.9822345,3.339117,5.3972187,3.3696413,3.3074007,3.0808096,3.9549036,4.0708485,4.4225883,2.8350754,3.6405761,3.57095,3.8662546,4.9391923,4.1252666,3.664178,3.4673195,5.0733123,6.8277254,0.36252594,2.2354696,3.1176279,2.8177514,2.3766074,3.6038294,3.8250291,2.8991783,4.070091,2.7011538,4.3534813,4.039973,5.6545153,2.1533995,2.3904047,4.54749,5.5006075,4.2390733,3.8523831,4.118367,4.1788726,3.5251436,3.0737772,2.8212295,1.2130994,3.7924788,5.7911386,3.5777936,2.961255,5.2876406,1.984753,3.4541883,3.3989868,2.3113,2.6535249,4.5479217,2.95763,5.113509,4.388267,2.4118555,4.438055,2.3841777,5.734258,2.5819767,4.904147,3.3126788,3.3307781,3.3133345,4.0327706,4.680888,3.1523604,5.441435,3.6121671,6.9842873,2.7689538,3.8644443,3.5153728,3.3975163,4.6801023,2.7024126,2.5526829,5.9020886,2.319355,3.3550613,5.163419,3.46084,4.6683507,4.4778824,3.2377083,5.648065,2.9149184,4.064984,4.06076,1.7361497,3.1823323,6.137545,3.5004523,5.0552807,2.4922028,3.3527265,3.2833285,3.2450087,2.2049918,5.1090226,3.1833253,4.2355375,5.3456125,4.700883,5.676507,2.8217654,3.9200373,3.909088,1.6116977,3.8552766,1.891381,2.529015,5.919233,3.047133,3.343647,3.790318,5.5470095,4.450966,3.2319179,5.272431,3.925354,2.8781686,2.2757888,2.5519183,3.4145715,3.9289293,1.7559254,3.3303301,7.3045216,3.1523619,3.1853852,3.13462,4.0713816,2.7063618,3.1284242,3.3337193,3.60348,6.0344477,3.384006,2.6497414,3.1159675,4.7685914,1.7472346,4.8118167,2.5389314,6.9456677,2.9368806,2.0643725,1.963198,3.68952,3.0749564,3.404671,4.3311596,2.5994713,6.638359,2.7503328,1.3181894,5.3678746,4.0897417,4.3838615,3.6354017,1.1715415,2.6779075,7.2361207,2.9781303,6.1176634,1.0541807,2.4791765,1.1546077,2.040554,5.592704,5.832691,1.945979,4.39793892293719,3.2277439,4.0142107,3.8729677,4.519592,2.6965466,8.319885,3.6355495,4.8180766,2.0441642,3.8886533,3.413249,2.573368,2.8289113,3.001614,2.0552707,2.7880187,5.381665,3.3022711,6.6547403,4.596122,4.0353794,4.306011,2.5081036,5.9542847,4.4377303,5.547533,3.4246593,2.6547568,5.553626,3.9121523,3.1359189,2.729354,4.2976117,3.9936476,6.247958,4.906372,5.148448,3.435677,2.3855448,2.9916148,0.36122438,3.7985315,3.8577542,2.3418689,4.3516417,1.6426389,5.2321424,3.08325,2.248158,3.1808572,2.066485,5.429844,4.2843986,5.1320496,3.783886,3.6910965,4.896555,4.7597103,3.7926157,2.2457254,3.3343349,2.8723311,4.913208,3.6953166,3.5095582,4.843911,4.2683897,4.771232,3.7958312,3.2402132,3.0021296,4.894381,4.1744947,2.7753139,3.135823,3.7978885,6.376302,2.0109966,2.1390617,4.9342804,3.0842516,4.4949484,3.9199185,2.9285383,3.3724976,2.470773,2.0691066,3.829595,2.5286126,1.6463444,7.514557,3.6517196,1.3751004,2.9488943,1.7525256,6.0479655,2.7484381,4.460086,2.854937,2.1886268,5.09284,2.3351653
simeprevir,CC1=C(C=CC2=C1N=C(C=C2O[C@@H]3C[C@@H]4[C@@H](C3)C(=O)N(CCCC/C=C\[C@@H]5C[C@]5(NC4=O)C(=O)NS(=O)(=O)C6CC6)C)C7=NC(=CS7)C(C)C)OC,1.5037622,1.4896637,4.3407116,3.718046,2.7494602,4.285818,1.1761553,1.8276811,2.495026,5.6669745,2.4733484,2.174755,4.676247,3.96185,4.872279,6.0179834,4.7990417,3.6079788,3.8359978,4.973997,3.9247105,2.404801,5.8303986,3.698642,4.6968412,3.7890027,2.9061291,4.016126,4.976263,4.3130064,3.8352613,2.5901985,3.9922838,2.2188613,1.2019923,2.1632843,2.5178561,4.6049123,5.6982145,2.6013732,2.0036826,4.185548,3.1714296,0.6776439,3.9776464,2.5514565,5.5150714,-0.25108665,5.7974195,3.2737641,1.9569468,2.6488104,0.5850257,6.343157,4.8796372,2.2465513,2.9710486,4.3915825,1.0685695,5.2727776,4.2885056,3.6225314,3.5614545,2.9583926,2.246993,2.651956,2.8156404,2.523587,3.463584,3.619829,2.4487536,3.2858262,3.8154275,3.5733452,3.4338353,2.221314,3.5172575,1.7083348,4.3744197,3.5125816,5.2051244,3.962923,5.2288284,4.257343,3.5321345,2.2509344,3.9357467,3.5530145,4.7156496,3.3264737,2.3530347,1.3470526,5.4259253,3.3589327,3.4877803,2.7409182,3.2709239,4.9290037,4.524042,2.2791984,1.5043676,3.270475,4.0142536,2.656172,4.11862,3.0077903,0.72703964,1.7318919,2.7028596,1.372242,4.9464025,5.631385,6.412157,1.2715694,3.550531,4.465276,1.772572,6.1580553,5.6109457,4.700396,3.6162717,4.2709537,4.796833,4.119654,2.5976954,4.8452444,2.973135,3.598456,2.4614375,3.956865,3.8792996,4.2979813,2.82908,5.2228355,2.7995272,2.876139,3.7668397,2.0523095,3.2270036,2.920732,3.682774,4.049473,3.6927722,4.3570137,1.906682,1.455304,3.9019258,4.496472,5.485262,4.892459,1.2997413,3.1422567,5.734186,4.913053,5.9244547,3.9791236,1.2028891,4.306183,2.3316932,2.7771084,3.2454252,5.1473055,5.237346,3.7363667,1.4679887,1.5274403,5.1068106,4.70908,3.5496197,2.3897376,3.898313,4.1679335,3.891629,1.181978,1.7037381,4.186929,3.8882282,2.5416305,4.605772,6.042462,4.454937,2.0738964,2.7224152,3.0736616,3.1525187,3.4366121,5.3371735,4.300267,0.30358562,2.6429977,5.1176515,3.178365,3.9312882,2.5468001,5.0226192,3.952509,2.6236892,1.5961709,2.515836,0.6560704,3.2569895,0.6773946,2.122373,3.3800423,4.4013987,3.382438,5.4347973,1.6771662,5.5353594,3.4653301,3.0709293,4.9713216,2.6809058,3.8529518,5.6891885,3.5325224,5.3457556,0.57271636,2.8314269,5.818565,3.3412838,2.5081632,2.4803581,2.2808125,1.6936063,3.5308595,1.5577374,6.5414534,3.3255773,4.819853,1.4643525,2.816811,4.3861628,4.0519023,4.6909637,2.3465703,4.8068233,6.0968557295904615,2.320066,3.5058632,2.1990106,1.6135297,4.788455,4.8201427,4.027261,2.5246754,3.3827238,0.9030619,2.5360174,2.8688045,1.2237371,2.351273,2.0116801,2.9741154,4.013053,5.4952826,3.5481012,3.6005387,1.596117,4.567002,2.8499928,3.5844898,3.3436868,4.8196015,2.1390834,5.1847997,4.686134,1.5533983,3.05757,3.717192,5.399941,1.4907281,4.620118,3.742269,2.7135508,2.5705733,1.9447045,3.6670144,5.1260653,0.8514129,3.7662232,4.563793,3.0443168,4.8514595,4.0333233,2.4247284,3.9238598,3.040164,6.784352,3.4939375,2.6366043,2.5118854,4.9166627,4.3347397,3.196181,2.0462108,3.2198606,4.1997833,2.6956491,2.7009459,4.704381,1.0014095,2.8232818,5.2183914,3.8796563,5.116068,3.5953803,3.6499126,3.66817,2.3840742,1.7949346,2.4411044,2.4259067,4.547016,4.619541,5.6106224,2.9615068,4.834792,4.7436633,2.1265035,3.852781,2.927331,2.506503,0.60526645,1.3046734,3.3538055,3.9980552,2.0239687,3.2325692,4.725499,3.664791,3.6589355,2.0361571,2.98131,3.5376472,3.6723957,2.380548,3.3661299,5.311299,3.5215852,3.8600566,2.2317786,3.893722,1.5173465,3.6701832,1.1832676,4.981299,3.1104133,0.85522425,2.1365023,3.8542588,3.0268722,3.6563082,3.3845897,2.5552042,4.569723,3.178222,1.3457379,3.9394836,4.7248282,4.352364,5.533572,0.9662953,1.3724334,3.6501446,4.0842094,4.084023,0.61975026,1.8973312,2.1430016,1.5005519,3.97678,6.1889725,2.6634488,3.8928382,2.6555188,2.3031251,4.7033615,3.596233,4.4858565,4.715909,2.2332513,3.7558951,2.4230347,0.5313254,3.5241995,2.67663,1.4260284,4.410263,4.021062,2.3043966,4.4467983,2.040565,5.343527,4.268189,3.2133074,5.0818477,1.9150064,5.6263857,3.9563622,4.063915,2.7329574,2.4965463,6.740043,4.1153107,3.1540003,2.654706,3.7895226,1.988153,4.61166,6.909925,5.410633,3.409121,2.8939822,3.1129518,1.1562401,3.4560802,2.0784094,1.1135814,4.1858582,0.4401778,4.783724,3.7875679,2.457344,3.4252553,0.88581824,4.994825,4.027452,5.5213633,4.3464193,3.858722,7.4014835,3.6716142,2.1546707,2.246125,3.57914,1.5170379,3.287809,2.9177992,4.0040913,3.641742,5.022332,4.794966,4.332404,3.9106617,2.872396,3.999534,5.5832357,2.8398848,2.9291751,3.8549552,4.881304,1.4106482,1.6997935,4.2351093,2.618895,3.8767061,3.6909924,4.7450576,3.6916184,2.621694,4.74815,3.1903462,1.449449,1.7003796,5.1565824,4.5499034,1.2641114,3.2663107,2.181602,5.3290725,2.0840206,2.8663592,1.9253037,1.7789732,4.0106573,1.5025908
pentamidine.isethionate,C1=CC(=CC=C1C(=N)N)OCCCCCOC2=CC=C(C=C2)C(=N)N,5.123391,7.5939837,7.6073604,7.730034,6.0588474,5.920782564253433,7.1952844,7.0639973,6.733021,7.636386,6.0946655,4.200031,6.0169916,7.8012714,7.045435,5.742732,7.604322,7.0531125,6.701107,6.6754565,6.4195833,6.3291254,5.6786137,4.3233457,5.118741,5.88591,6.0157156,6.201518,6.887561,7.24346,3.9999995657057354,6.044881,6.8291326,6.428219,4.334567,6.89415,5.30443,8.277049,7.0608983,7.516348,6.826106,6.035123,5.6392736,4.488239,6.6246142,6.2580433,8.434065,7.0764494,4.975348,7.923954,6.927477,6.1444244,7.143843,4.705596,7.1088586,6.0684404,4.5653715,5.6736774,5.285606,5.8215785,5.529485,6.0404754,6.329521,7.2927012,6.002367,6.6781034,6.201538,7.083338,6.775131,7.020875,6.9985876,6.4948816,7.326801,6.279312,6.375292,7.5719376,6.2302637,4.6818924,7.520839,6.2545195,7.470639,6.0511413,7.5287647,4.6143646,6.520772,7.027525,7.284033,7.6929874,6.3694487,6.8431606,6.496207,6.8088937,7.325458,5.698593,6.03076,7.451808,5.6397886,7.076459,7.6739445,6.2581587,7.388246,6.8366623,6.364618,5.9575205,8.25096,7.291879,6.7186503,6.8768396,7.33521,5.659936,6.4292545,7.294147,5.4104233,6.0851283,5.9931517,6.734231,5.0610623,4.2170057,6.3001423,5.7903833,5.3321857,4.2431736,6.7158413,6.983001,6.309912,6.924575,6.6407633,4.6718616,6.982918,6.158786,6.5684814,4.9614077,5.8243227,9.505115,6.89275,4.392033,8.145485,6.540138,6.860313,7.2383556,3.9999995657057354,3.9999995657057354,4.411541,5.3248434,6.306948,6.830221,6.957123,5.0341334,5.905959,6.5642796,4.8046575,3.9890034,6.5515156,6.9024096,6.5141735,6.678059,6.5575166,4.7869134,6.5564027,6.7122455,6.10566,4.893886,6.0997252,6.8968444,3.2588933,5.331551,6.532968,6.215371,6.6194715,5.420884,7.515074,6.6654763,6.638008,5.696988,5.8783145,7.6596327,5.371164,5.1234183,5.471832,6.8693523,4.270885,6.5554824,4.695932,8.284901,6.6569176,6.774676,5.85168,4.7072797,5.689608,6.0350413,6.6077003,6.4614625,4.721573,6.3040543,6.6907706,5.910609,6.7654123,5.5567794,6.1732025,3.5653448,6.5352974,4.3089914,5.9852858,6.953367,6.3934336,6.5156116,4.0832276,7.0707808,5.553074,5.401154,6.2149563,6.1004877,6.553362,7.0382977,5.410387,5.186782,6.6205764,5.0923376,5.1551065,7.2712016,6.0441575,7.0375986,6.1248097,6.085049,6.4456854,5.874162,4.883149,5.1714544,6.852442,7.5158443,6.072665,6.415734,5.183408,5.8437214,5.742261,7.5512466,6.8736744,5.585144,6.428379,6.9986954,7.297646,4.1495094,4.9328165,5.560935,6.8674517,6.308737,4.546618,5.1945324,6.118785,5.6780963,6.5787535,6.7377224,6.2543783,6.9688044,7.668998,4.550771,7.9894567,7.340601,7.180872,5.3926387,5.338955,8.063078,5.671132,4.970251,6.6277905,5.1190925,4.9765644,4.740136,5.874974,6.1191444,6.3716774,5.5770874,5.553487,7.114394,4.675576,5.747785,5.480362,5.3385773,5.572811,6.8396044,5.4693594,7.658061,6.0217333,6.100311,6.09999,4.394287,5.4718666,6.6064987,7.931198,7.2206826,6.9341006,6.7920675,5.526933,8.676826,4.2798996,6.811719,6.540346,5.50896,5.8519506,6.103035,5.116113,6.387418,5.6020083,6.946328,8.4171715,4.270834400057087,7.611604,6.81437,7.0557323,6.3101807,5.4552813,6.397558,7.0484753,6.81337,5.32669,4.4502225,5.934282,5.6188064,7.4723587,5.74253,8.203404,6.684087,5.4712086,5.1465716,7.360448,6.477043,6.1030507,5.2742667,6.2043552,4.9356613,5.200387,6.6984096,7.5675364,5.096921,6.3850374,6.474456,5.580532,6.2702284,6.9736443,6.182625,6.1095057,5.103731,6.578745,7.1957703,6.8866143,3.9454408,6.6820474,6.832871,6.6218452,6.92358,4.925717,5.9923525,5.501734,3.3296444,6.504199,4.3382072,6.8887415,4.070654,6.6045,6.6115417,6.0972795,5.940707,6.934347,5.589823,5.919738,7.380766,7.8067875,3.8323977,7.057348,5.037505,6.093459,4.6801195,6.106177,5.472891,8.498906,6.8853393,4.126271,5.405821,6.195557,5.239212,5.714691,7.0116096,6.466759,3.6889553,6.804389,5.434289,6.3233824,5.561042,4.4239902,5.9219,6.467041,4.722045,6.115687,5.61405,7.4995074,7.169969,5.9794626,5.324271,7.5635123,8.439526,4.298749,6.7198954,5.675934,7.1765747,5.1726184,5.004224,4.999995657076895,7.648922,6.1653767,5.8928967,5.667936,5.7871237,6.474187,7.3948674,7.0824957,6.3462443,7.3031974,6.863979,5.095337,7.187036,4.9503117,7.053302,4.96123,4.7830353,7.119787,7.1327143,6.4091105,7.0571184,5.6433334,5.09595,6.212806,7.466337,5.976381,5.265828,5.7099276,6.6788073,5.3560734,4.45624,6.290388,5.635692,5.3163214,5.6329327,7.9587016,6.631646,5.4491053,6.6520534,5.7628055,6.2517395,6.3703885,6.3201,6.2566633,6.540649,7.037589,5.493558,6.1847124,6.336371,7.601162,5.0789633,5.808316,7.2792845,5.361931,8.197916,6.841343,7.751746,4.6462984,6.3584757,5.688586,7.8305006,6.8711057,5.152354,7.2164116,7.184081,3.9999995657057354,6.094213,4.8369703,6.050087,5.0762405
