protein	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	caudate	cerebellum	cerebral cortex	cervix	colon	duodenum	endometrium 1	endometrium 2	epididymis	esophagus	fallopian tube	gallbladder	heart muscle	hippocampus	kidney	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	placenta	prostate	rectum	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	spleen	stomach 1	stomach 2	testis	thyroid gland	tonsil	urinary bladder	vagina	nan	hypothalamus	endometrium	hair	retina	lactating breast	skin	thymus	cartilage	eye	pituitary gland	choroid plexus	dorsal raphe	substantia nigra	sole of foot	
ZNF511	3	3	1	2	2	3	3	3	2	2	2	3	3	3	2	3	2	3	3	2	3	2	2	1	3	2	2	2	2	3	2	3	3	2	3	2	3	3	3	0	2	1	2	3	2	3	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ZNF627	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
WDHD1	0	0	3	-100	0	0	0	0	0	3	2	3	3	1	0	2	1	1	0	0	0	0	0	2	0	2	0	1	1	2	1	3	1	0	0	0	3	1	0	0	0	3	3	2	3	0	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ZNF789	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CTNND1	1	2	0	1	2	2	0	0	1	1	2	2	0	1	2	1	2	2	1	0	2	2	2	0	2	1	1	1	2	0	2	2	1	2	1	1	1	2	1	2	1	0	2	2	0	2	2	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DDX39B	0	3	0	1	3	3	0	0	0	3	2	1	2	1	2	3	3	3	3	0	0	0	1	0	3	2	2	2	0	0	2	2	2	1	3	3	3	2	3	1	3	0	2	2	3	3	2	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC34A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RD3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SPANXC	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SH2D1B	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NUDT16	1	2	1	0	0	2	2	2	0	2	1	1	2	2	2	2	2	2	2	2	2	1	2	1	1	2	0	0	0	0	0	1	1	2	3	1	2	2	2	0	0	2	2	2	2	1	2	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TLK1	3	3	3	-100	3	3	2	3	2	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LRBA	1	2	1	2	1	3	1	2	2	2	1	3	3	2	3	3	2	3	2	1	2	1	2	1	3	3	1	1	3	2	2	3	2	1	2	2	2	3	2	1	0	1	3	3	1	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
BAZ1A	2	2	1	3	2	2	0	2	1	3	2	2	1	2	2	2	2	2	2	0	1	1	3	1	2	3	2	0	2	0	1	3	1	1	2	2	3	2	2	2	1	1	2	3	0	1	2	2	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
AKR1C4	0	1	0	0	0	1	0	2	1	0	0	2	0	0	0	0	0	2	2	0	1	2	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	-100	0	0	2	2	1	0	1	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
COPS8	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CCDC69	0	2	1	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MDM4	2	3	2	1	2	3	2	3	1	3	3	1	3	3	2	2	3	2	2	3	3	3	2	2	3	3	1	2	3	0	2	2	3	2	3	0	2	2	1	3	2	2	1	2	3	3	2	1	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RYR2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KLHL9	0	0	0	0	1	1	0	0	0	0	0	1	2	2	1	0	1	2	2	0	2	2	0	0	2	0	0	1	0	0	3	1	2	3	1	0	1	1	3	0	0	0	2	1	2	3	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FAM3D	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	2	1	1	0	1	0	0	3	0	0	1	1	0	3	3	3	3	1	0	0	2	0	0	0	0	3	3	3	1	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NCOA6	2	2	1	3	2	3	2	0	0	2	2	3	2	2	3	2	2	3	2	1	3	1	0	2	3	2	2	2	2	3	2	3	3	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
STK39	1	1	3	0	2	2	1	3	2	2	2	3	2	2	3	2	3	3	1	2	2	0	2	2	3	0	0	2	2	1	3	3	3	2	0	2	1	3	1	0	0	3	2	3	0	1	2	3	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
C6orf89	2	2	0	2	0	1	2	2	2	0	2	2	1	1	2	1	0	2	2	2	1	0	2	0	2	0	1	2	2	1	2	2	0	1	1	0	0	2	0	2	1	0	2	2	2	2	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CALM1	0	1	2	1	1	1	2	2	1	2	0	2	0	1	1	2	2	2	0	2	1	0	0	0	2	2	0	1	1	0	2	2	1	1	0	0	0	2	1	1	1	0	2	2	0	1	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LPA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SKIC3	0	2	1	1	2	1	1	1	1	0	2	2	1	2	2	1	2	3	2	1	2	2	2	2	1	1	0	2	2	2	2	2	2	2	2	2	1	2	0	2	2	1	2	2	2	2	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TUSC1	0	0	0	0	2	2	1	2	0	2	1	2	0	0	2	2	2	2	1	0	2	0	0	0	2	2	0	0	0	2	2	2	2	-100	2	2	2	1	2	0	2	0	2	2	2	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
