protein	adipose tissue	adrenal gland	appendix	bone marrow	breast	bronchus	caudate	cerebellum	cerebral cortex	cervix	colon	duodenum	endometrium 1	endometrium 2	epididymis	esophagus	fallopian tube	gallbladder	heart muscle	hippocampus	kidney	liver	lung	lymph node	nasopharynx	oral mucosa	ovary	pancreas	parathyroid gland	placenta	prostate	rectum	salivary gland	seminal vesicle	skeletal muscle	skin 1	skin 2	small intestine	smooth muscle	soft tissue 1	soft tissue 2	spleen	stomach 1	stomach 2	testis	thyroid gland	tonsil	urinary bladder	vagina	nan	hypothalamus	endometrium	hair	retina	lactating breast	skin	thymus	cartilage	eye	pituitary gland	choroid plexus	dorsal raphe	substantia nigra	sole of foot	
TSPAN6	0	0	0	0	0	3	0	0	0	3	0	1	3	3	2	3	3	2	0	0	2	0	0	0	3	2	0	1	2	3	2	2	2	3	0	0	2	2	0	0	0	0	2	2	1	2	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TNMD	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DPM1	2	3	2	2	2	2	2	2	1	2	1	3	2	2	2	2	2	3	3	2	3	2	2	2	2	2	1	3	2	3	2	3	2	2	3	3	2	3	3	2	0	2	3	3	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SCYL3	1	0	0	1	2	0	0	1	1	0	2	2	1	1	2	1	2	1	2	1	1	1	2	1	2	1	1	2	2	3	2	2	1	-100	1	2	2	2	2	1	1	1	2	2	1	2	2	3	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
C1orf112	2	2	1	1	2	2	1	1	0	2	2	0	0	0	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	0	2	0	1	1	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FGR	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CFH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FUCA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GCLC	2	2	1	2	0	2	1	2	0	1	1	2	2	1	2	1	3	2	1	1	2	2	2	2	2	2	0	1	2	2	1	1	1	2	1	0	1	1	1	1	-100	0	2	1	2	2	2	3	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NFYA	0	2	2	2	2	2	1	0	0	2	2	2	2	2	2	2	2	2	2	1	2	0	2	-100	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NIPAL3	1	3	1	2	2	3	3	2	3	3	1	3	3	3	3	2	3	3	2	3	3	2	2	2	-100	2	2	3	3	2	3	3	3	2	1	2	3	3	1	2	2	2	2	3	3	3	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LAS1L	2	3	2	2	2	3	2	2	0	3	2	3	3	3	3	3	3	3	3	2	3	2	3	2	3	3	3	3	2	3	2	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ENPP4	1	3	1	2	0	3	3	2	0	1	2	3	2	2	2	1	2	3	3	3	3	2	3	1	3	1	0	2	3	3	2	2	3	3	1	0	2	3	1	0	1	0	3	3	3	2	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SEMA3F	3	2	0	0	2	2	0	3	0	0	2	1	0	0	0	1	1	0	0	0	1	1	0	0	1	1	0	3	0	1	1	2	1	0	0	2	2	2	0	0	0	0	2	0	2	0	2	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CFTR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ANKIB1	2	2	2	2	1	2	2	2	1	1	2	2	2	1	2	2	2	3	2	2	2	2	2	2	2	1	2	2	2	3	1	2	1	2	2	2	2	1	2	-100	1	2	3	3	2	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CYP51A1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KRIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
BAD	1	2	1	1	2	3	3	2	2	1	2	2	2	2	2	2	2	2	2	2	3	2	1	1	3	1	0	2	2	3	2	2	2	2	0	1	2	2	0	0	0	1	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LAP3	1	2	2	1	2	2	0	0	0	0	0	2	2	1	2	1	2	2	0	0	3	3	1	1	2	1	1	1	2	0	2	2	2	2	0	0	0	2	0	0	0	0	3	2	0	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CD99	1	2	0	3	0	0	0	0	0	2	0	0	1	0	1	3	1	1	0	0	0	0	1	2	0	0	3	3	0	0	3	0	2	2	0	0	0	0	0	-100	2	1	0	0	3	2	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
HS3ST1	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
AOC1	0	0	2	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	3	0	0	1	0	1	0	0	0	2	2	2	0	1	0	1	1	2	0	0	0	0	1	1	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
HECW1	0	2	1	1	2	2	2	2	2	2	2	2	2	2	2	-100	2	2	2	3	2	1	2	2	2	2	2	1	-100	2	2	2	2	2	2	2	1	2	1	2	1	1	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MAD1L1	1	2	2	2	2	2	2	3	1	1	2	3	3	2	3	2	3	3	2	2	2	1	2	2	2	2	2	2	2	3	2	2	1	2	2	0	0	3	2	1	1	1	3	3	0	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LASP1	0	0	3	2	0	1	1	1	1	0	1	1	0	2	0	0	0	2	0	1	3	1	3	2	1	0	1	0	1	0	0	2	1	0	0	1	2	0	0	0	0	2	2	3	0	1	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SNX11	0	1	1	0	2	0	1	2	2	0	1	2	1	2	2	1	0	3	1	0	2	0	1	2	0	2	0	0	2	2	2	1	2	2	1	2	0	3	0	2	2	1	2	2	1	1	3	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TMEM176A	3	2	2	1	2	2	0	0	1	2	3	3	2	1	2	0	1	3	2	0	3	3	2	2	2	0	2	1	3	2	1	3	1	2	1	2	0	3	1	0	2	0	2	2	2	2	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
M6PR	3	3	3	3	2	3	3	2	2	2	2	3	3	3	3	2	2	3	3	3	3	3	3	2	2	3	2	2	3	3	3	2	3	3	3	2	2	3	2	2	3	3	3	3	3	3	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KLHL13	0	0	0	0	1	1	0	0	0	0	0	1	2	2	1	0	1	2	2	0	2	2	0	0	2	0	0	1	0	0	2	1	2	2	1	0	1	1	3	0	0	0	2	1	2	2	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CYP26B1	0	2	1	1	1	-100	2	2	0	0	0	1	0	0	1	0	0	-100	0	0	1	2	0	0	1	0	0	0	0	0	2	1	1	1	0	0	0	1	0	0	0	0	2	1	2	0	1	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ICA1	0	1	0	0	1	1	0	1	1	1	1	1	0	0	0	1	0	1	3	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	3	0	0	1	3	0	0	0	1	1	0	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DBNDD1	0	1	1	0	1	2	2	-100	2	3	1	3	2	2	2	3	2	2	2	3	2	2	0	1	2	2	0	2	1	2	1	2	1	1	1	2	2	2	1	1	0	1	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ALS2	0	2	2	0	1	2	0	3	2	0	2	2	2	1	1	1	2	2	2	1	3	2	2	2	0	2	1	2	2	1	2	2	0	2	1	0	2	2	1	1	-100	2	2	2	3	1	1	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CASP10	0	2	1	2	0	1	1	1	0	0	1	2	1	1	1	0	1	1	1	1	1	0	2	2	1	0	0	0	2	0	1	2	0	2	0	1	1	2	1	0	0	1	2	2	3	1	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CFLAR	2	3	2	3	2	3	3	3	2	3	2	3	2	2	2	3	3	3	2	3	2	2	3	1	3	2	1	2	3	2	2	3	2	2	2	2	2	3	0	2	1	2	2	2	3	2	3	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TFPI	0	2	0	2	1	3	2	2	2	-100	1	1	2	2	2	2	1	3	2	2	3	2	2	1	0	3	1	2	2	3	2	1	0	2	2	0	0	1	1	1	0	0	3	3	2	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NDUFAF7	1	2	0	2	1	2	2	1	1	1	2	2	2	2	2	1	2	2	2	2	1	1	2	2	2	2	1	1	3	3	2	2	2	3	2	3	2	2	3	2	2	0	3	2	3	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RBM5	3	3	3	3	3	3	3	3	1	3	3	3	3	3	3	3	3	3	2	3	3	2	2	3	3	3	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SARM1	0	2	0	0	1	1	1	1	1	0	0	1	0	1	1	1	1	2	1	1	2	0	2	1	0	1	0	1	0	2	0	1	0	0	2	0	1	2	0	0	0	0	1	0	2	1	1	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PLXND1	0	1	1	1	3	-100	2	1	1	2	3	1	0	0	1	2	0	2	2	1	2	2	1	0	2	3	2	1	3	3	0	3	2	2	2	2	2	2	1	2	2	0	0	1	1	3	1	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
AK2	1	3	2	2	0	2	0	2	1	2	1	3	2	2	2	2	2	3	2	0	3	2	2	1	2	2	2	2	3	3	3	2	2	3	2	1	2	3	0	0	1	0	3	2	3	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CD38	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
FKBP4	0	2	2	2	0	2	2	0	0	3	2	3	3	3	3	3	3	2	0	2	2	0	0	1	2	3	2	2	1	3	3	3	3	3	0	0	3	3	3	-100	0	0	3	3	1	3	2	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KDM1A	1	3	1	3	1	0	1	1	1	2	1	2	2	0	2	2	2	3	3	0	0	2	0	2	0	1	3	0	3	1	0	2	3	2	3	1	2	1	1	0	0	3	2	1	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RBM6	1	3	3	3	2	3	2	1	0	3	3	3	3	3	3	3	3	3	2	1	0	1	3	3	3	3	3	2	3	3	3	3	3	1	3	3	3	3	3	2	1	1	3	3	2	3	3	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CAMKK1	0	2	2	1	1	1	2	0	1	1	0	1	1	1	0	0	0	1	3	1	1	0	3	2	0	0	0	1	1	1	0	1	1	1	1	0	0	1	1	0	0	2	1	1	1	1	2	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RECQL	2	2	1	2	2	2	2	2	0	1	1	1	2	2	2	1	2	1	2	1	2	2	1	2	2	2	2	0	2	2	0	1	1	1	1	2	2	1	2	2	1	1	1	1	3	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
VPS50	1	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	2	1	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
HSPB6	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	3	1	1	0	2	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ARHGAP33	2	2	1	2	2	1	1	0	1	1	1	2	0	2	2	2	1	2	2	1	1	2	3	2	2	2	0	1	2	2	2	2	0	1	2	2	2	1	2	0	0	0	1	0	0	2	0	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
NDUFAB1	0	3	2	1	2	3	2	3	2	1	0	3	3	2	2	2	3	3	3	3	3	2	3	-100	2	-100	0	3	2	2	2	3	2	-100	1	3	3	3	0	0	0	0	3	3	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PDK4	1	3	2	3	1	3	3	3	0	2	3	3	3	3	3	2	3	3	3	3	3	1	2	2	3	2	1	1	3	2	2	3	3	3	2	1	2	3	0	1	0	3	3	2	3	2	2	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC22A16	0	1	0	2	0	1	1	2	0	0	0	2	1	1	0	1	1	2	2	0	2	2	1	2	2	1	0	0	2	0	1	2	1	1	1	0	1	2	0	0	0	1	2	1	1	1	2	0	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC25A13	1	2	2	2	0	2	3	2	2	2	3	3	1	1	1	1	1	2	2	3	3	3	1	1	2	1	1	1	1	1	1	2	1	3	1	0	1	3	1	0	0	0	2	2	0	1	1	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ST7	1	2	0	0	1	1	1	0	0	1	1	2	2	1	0	1	2	2	2	0	2	0	1	0	2	0	0	0	1	2	1	2	1	0	2	0	2	2	1	1	1	0	1	1	0	2	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CDC27	2	2	2	3	1	3	2	2	1	3	2	3	1	2	2	3	2	3	0	2	3	1	2	2	3	3	0	1	3	2	1	3	2	2	2	2	2	2	2	2	1	2	2	2	3	3	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
HCCS	0	2	1	1	1	1	1	1	0	1	0	1	1	1	1	2	1	1	1	1	2	2	2	1	1	3	1	1	3	2	1	2	1	1	1	1	2	2	1	1	1	1	2	2	1	1	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DVL2	3	3	3	3	3	3	2	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3	3	0	3	3	3	3	3	3	3	3	3	0	0	2	3	3	3	3	2	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PRSS22	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
UPF1	0	2	2	1	2	2	2	2	0	2	3	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	0	0	0	0	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SKAP2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SLC25A5	1	2	2	1	1	1	1	3	1	2	0	2	1	0	0	2	1	2	3	2	2	2	2	1	2	2	0	2	3	1	1	3	1	1	1	2	1	2	1	0	0	1	3	3	3	1	2	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MCUB	0	0	1	2	1	1	0	0	0	1	1	1	0	0	0	1	1	2	1	0	2	0	0	2	2	1	0	0	1	1	1	1	0	0	1	1	0	1	1	0	0	0	2	1	0	0	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
HOXA11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
DHX33	0	1	0	1	0	0	3	2	0	2	2	2	1	0	2	1	3	2	1	3	2	0	0	0	0	3	0	0	0	2	2	2	1	1	1	3	3	2	0	0	0	0	2	2	2	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MEOX1	0	2	1	0	1	2	0	0	0	2	0	2	2	2	2	2	2	2	2	0	2	0	2	0	2	2	1	0	2	2	2	2	2	2	1	0	2	2	1	1	1	2	2	2	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
THSD7A	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
LIG3	2	2	1	3	3	3	2	3	0	3	3	2	3	3	3	2	3	3	2	2	2	0	1	1	3	2	2	1	0	3	2	3	2	2	2	3	3	2	0	2	2	0	2	2	0	3	3	3	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RPAP3	3	2	2	2	3	3	2	2	1	2	3	3	1	3	2	3	3	2	2	2	2	2	2	3	3	2	2	2	2	2	2	3	2	2	2	3	3	3	2	2	2	2	3	3	2	2	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ACSM3	0	0	1	0	0	1	1	0	0	0	0	2	0	1	1	0	1	2	2	0	1	0	2	2	-100	0	0	0	0	0	2	2	0	0	0	0	1	2	0	0	0	2	1	2	0	2	0	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
REXO5	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CIAPIN1	0	1	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	1	2	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
SPPL2B	0	3	0	3	1	0	3	2	1	1	0	2	0	1	3	0	0	3	2	1	3	2	2	2	2	1	0	1	1	3	3	3	2	1	2	2	1	2	0	1	1	0	2	2	0	3	2	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ATOSB	2	2	0	3	1	0	2	1	1	0	1	2	2	1	2	2	3	2	2	3	2	2	2	0	0	1	0	1	2	3	2	2	2	2	2	2	0	1	0	0	1	2	2	2	0	2	2	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
COPZ2	1	2	1	1	1	2	0	0	0	1	0	2	1	2	1	2	1	2	1	0	2	2	2	0	2	0	0	2	1	1	1	2	1	2	1	0	1	2	1	0	0	0	2	2	2	1	1	1	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PRKAR2B	3	3	0	0	1	1	2	0	2	0	0	0	1	1	2	0	1	0	0	2	0	0	1	0	1	1	2	1	-100	1	1	2	1	-100	0	0	1	0	1	1	0	0	1	1	2	0	1	1	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MSL3	0	1	2	1	1	2	1	1	1	1	1	2	0	0	1	0	0	1	1	1	0	0	0	2	2	0	0	0	0	2	2	1	0	1	0	3	0	1	0	0	0	0	1	1	0	1	1	0	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CREBBP	1	2	2	1	2	2	1	3	2	3	2	2	3	3	2	3	3	3	2	1	2	2	2	2	3	3	2	2	2	0	2	3	2	2	1	2	3	3	2	2	1	2	2	2	3	3	2	3	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
TSPOAP1	0	2	1	1	2	2	1	2	2	2	1	2	1	1	2	2	1	2	2	2	2	1	1	1	2	2	0	1	2	2	2	1	1	1	2	1	1	2	1	1	1	2	2	2	0	1	2	2	2	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
MPO	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
PON1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
GCFC2	-100	1	1	0	0	3	0	0	2	3	0	0	3	3	3	3	0	3	0	0	2	2	0	0	0	3	0	0	0	1	1	0	3	2	0	0	3	0	0	0	0	0	3	3	1	0	2	2	3	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
WDR54	1	1	0	1	0	0	0	1	1	1	0	1	2	2	2	1	0	2	1	0	3	1	3	1	0	0	0	0	2	1	1	2	1	2	1	1	1	1	1	0	1	1	1	1	0	2	1	2	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
CROT	0	2	0	1	2	2	1	0	0	0	0	3	2	2	1	1	1	2	1	1	0	3	3	2	1	1	0	0	2	1	1	2	1	2	1	1	0	3	1	0	0	1	2	2	2	2	1	3	1	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
ABCB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
KMT2E	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
RHBDD2	0	0	0	2	0	0	2	2	0	0	0	0	0	0	1	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
IBTK	1	1	1	1	0	2	1	2	1	2	1	2	1	1	2	1	2	2	1	2	1	2	1	1	2	0	0	1	2	2	1	2	1	1	1	2	1	2	0	0	0	0	2	2	2	2	0	2	0	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	-100	
